subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
ALL (4001),sc_only,LGBM_medium,0.5471310927793807,0.029668375174196928,0.7060172802068703,0.7618590567467064,4001,0.22444388902774307
ALL (4001),sc+pca32+16+contr,LGBM_conservative,0.5492034929315531,0.008558095998806716,0.6277405129189096,0.7598324034289624,4001,0.22444388902774307
gemini_only,sc+contrast,LR_C0.1,0.4559455207813383,0.08385985147517566,0.4877708760274002,0.7598034121279816,1753,0.11123787792355962
ALL (4001),sc+contrast,LGBM_conservative,0.5526143488796965,0.013221768176011284,0.6031761699602295,0.7575482439995902,4001,0.22444388902774307
ALL (4001),sc+pca32+16,LGBM_conservative,0.5236753498403608,0.026056652068716983,0.6227244787338516,0.7575394001284752,4001,0.22444388902774307
ALL (4001),sc+pca16+8,LGBM_conservative,0.525506867633438,0.01723631859090207,0.607876725273341,0.756905637281823,4001,0.22444388902774307
qwen_only,sc+pca16+8,LR_C0.01,0.5918929024890703,0.05233914913347796,0.6238142896850482,0.7545866967446824,1565,0.26070287539936104
qwen_only,sc+pca16+8+contr,LR_C0.01,0.608992477482839,0.04977251854741601,0.6396953345791521,0.7539258721329575,1565,0.26070287539936104
no_TruthfulQA,sc+pca16+8+contr,LGBM_medium,0.5300610141656441,0.029285702373903395,0.7346697929744096,0.7494561727740845,3318,0.18173598553345388
gemini+qwen,sc+pca16+8+contr,LGBM_medium,0.5300610141656441,0.029285702373903395,0.7346697929744096,0.7494561727740845,3318,0.18173598553345388
no_TruthfulQA,sc+contrast,LGBM_medium,0.5302313073443709,0.024359075608512522,0.7067096040090972,0.7482030369937939,3318,0.18173598553345388
gemini+qwen,sc+contrast,LGBM_medium,0.5302313073443709,0.024359075608512522,0.7067096040090972,0.7482030369937939,3318,0.18173598553345388
qwen_only,sc+pca32+16+contr,LR_C0.05,0.602754196822827,0.045193917799754305,0.6597689927051996,0.748123380268123,1565,0.26070287539936104
qwen_only,sc+pca32+16,LR_C0.05,0.5917654744581434,0.04602640543896692,0.6479318918020176,0.7480516671766573,1565,0.26070287539936104
qwen_only,ENS_sc+pca32+16+c,ensemble_lr_gb,0.6082044477888969,0.04194670292536019,0.0,0.7439160338927208,1565,0.26070287539936104
gemini+qwen,sc+pca32+16+contr,LGBM_medium,0.5290722658154701,0.020978323367382607,0.7676329938396915,0.7435888831109123,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16+contr,LGBM_medium,0.5290722658154701,0.020978323367382607,0.7676329938396915,0.7435888831109123,3318,0.18173598553345388
ALL (4001),sc_only,LGBM_conservative,0.5138851150263528,0.025345928624123267,0.5736841522056614,0.7430546184277786,4001,0.22444388902774307
gemini+qwen,sc+pca32+16,LGBM_medium,0.503046264249414,0.02804193611871054,0.7690282788918684,0.7416239329790805,3318,0.18173598553345388
no_TruthfulQA,sc+pca32+16,LGBM_medium,0.503046264249414,0.02804193611871054,0.7690282788918684,0.7416239329790805,3318,0.18173598553345388
qwen_only,sc+pca32+16,LR_C0.1,0.5896438862001627,0.04781791838318188,0.6504720485633796,0.7401788242303518,1565,0.26070287539936104
qwen_only,sc+pca16+8+contr,LR_C0.05,0.6177740408697764,0.053132801637086786,0.6591293935220667,0.7396270827266639,1565,0.26070287539936104
qwen_only,ENS_sc+pca16+8+c,ensemble_lr_gb,0.6200788073806583,0.041798896583614145,0.0,0.7395874928372902,1565,0.26070287539936104
qwen_only,sc+pca32+16+contr,LR_C0.1,0.604257918032755,0.04583480964810568,0.6667012854558845,0.7393936216686385,1565,0.26070287539936104
