name,cv,test,n_feats
L20_25_pca32+16_C0.02,0.736839553006025,0.8003662997235842,157
L20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
ablation_no_moe_routing,0.7431440852967749,0.8000232450965928,138
L20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
ablation_all_scalars,0.7431440852967749,0.8000232450965928,157
ablation_unc+hs,0.7431440852967749,0.8000232450965928,138
L5_20_25_pca32+16_C0.05,0.7431440852967749,0.8000232450965928,157
L20_25_pca8+32_C0.1,0.7520555101090194,0.798930337818688,141
L20_25_diff_C0.02,0.7400710973900987,0.7987920619643867,177
L20_25_pca8+16_C0.02,0.7378347337397491,0.7987134918562024,109
L20_25_pca32+16_C0.1,0.7485996208457653,0.7981541482573227,157
L20_25_pca8+16_C0.05,0.7442257051672139,0.7979793272587423,109
L20_25_pca32+32_C0.02,0.74279533444941,0.7979310145485928,189
L20_25_diff_C0.05,0.7466453566250303,0.7973199276229009,177
L20_25_diff_C0.1,0.7517539848157441,0.796914708760405,177
L25_diff_C0.05,0.7355266999826218,0.7967610635256164,117
L20_25_pca32+32_C0.05,0.7468963856222627,0.796731879662303,189
L20_25_pca8+16_C0.1,0.7487278793122216,0.7964583698665131,109
L20_25_pca32+32_C0.1,0.7510754610978057,0.7962352446455538,189
L25_diff_C0.02,0.7275251977254851,0.7961578571365484,117
L20_pca32+16_C0.05,0.7319514749500629,0.795975710515354,107
L25_diff_C0.1,0.7409644534025245,0.7955686947778513,117
L20_25_pca8+8_C0.02,0.7353592123509151,0.7952371306165247,93
L20_25_pca16+8_C0.02,0.7343831151397466,0.7951890202416655,109
L0_25_pca32+16_C0.05,0.7326747805845073,0.7949647957142114,107
L25_pca32+16_C0.05,0.7326747805845073,0.7949647957142114,107
L15_25_pca32+16_C0.05,0.7488429631767797,0.794900129748474,157
L20_25_pca8+8_C0.05,0.7435536512661137,0.794847648421235,93
L20_25_pca16+8_C0.05,0.7434981912781418,0.7947983501094367,109
L20_25_pca8+4_C0.02,0.7335356184096604,0.7946221844517494,85
L20_25_pca32+8_C0.05,0.7413914779118078,0.7945424779567807,141
L20_25_pca8+8_C0.1,0.7484232594893271,0.7942165698612959,93
L20_25_pca32+8_C0.1,0.7477710015225666,0.7942152634275161,141
L20_25_pca32+8_C0.02,0.7337303936075926,0.7938326624355178,141
L20_25_pca16+8_C0.1,0.7502571699198578,0.7937077210568475,109
L20_25_pca16+4_C0.02,0.7338124403936123,0.7935493068940093,101
L20_25_pca32+4_C0.02,0.7341253444294213,0.7929172047988703,133
L20_25_pca16+4_C0.05,0.7421972411928435,0.7929145551403994,101
L20_25_pca8+4_C0.05,0.7392575034555284,0.7921555972875088,85
L20_25_pca32+4_C0.05,0.7407921373123295,0.7921254815383877,133
L15_20_25_pca32+16_C0.05,0.7543008221962848,0.7913326371839962,207
L20_25_pca32+4_C0.1,0.7450467428428905,0.7898423920272127,133
L20_25_pca8+4_C0.1,0.7414699152388387,0.7898049648086938,85
L20_25_pca16+4_C0.1,0.746353762965092,0.7897286842691548,101
ablation_no_uncertainty,0.7392072760300155,0.7864362463481143,139
ablation_hs_only,0.7392072760300155,0.7864362463481143,120
L15_20_pca32+16_C0.05,0.747045918071619,0.7862329958936707,157
L10_20_25_pca32+16_C0.05,0.7468164973602731,0.7861184183621573,207
ablation_moe_only,0.728254324764022,0.7765023187924415,119
L10_25_pca32+16_C0.05,0.739754002285924,0.7750351530894597,157
